feriado;dia;fecha;periodo;time;IN BIYEMAS v_id=1;OUT BIYEMAS - v_id=2;OCUPACION TOTAL - v_id=3;OCUPACION BINGO - v_id=4;OCUPACION TOTAL - v_id=5;IN BINGO BIYEMAS - v_id=6;OUT BINGO BIYEMAS - v_id=7;INGRESOS PUESTO 1 - v_id=8;EGRESOS PUESTO 1 - v_id=9;INGRESOS VALET PARKING - v_id=10;EGRESOS VALET PARKING - v_id=11;INGRESOS PUESTO 3 - v_id=12;EGRESOS PUESTO 3 - v_id=13;ING.P3 - ARCO SEGURIDAD - v_id=14;EGR.P3 - ARCO SEGURIDAD - v_id=15;ING.P1 - ARCO SEGURIDAD - v_id=16;EGR.P1 - ARCO SEGURIDAD - v_id=17;NETO VALET PARKING - v_id=18;INGRESOS SECTOR VIP - v_id=19;EGRESOS SECTOR VIP - v_id=20;ING. PUBLICO SECTOR VIP - v_id=21;EGR. PUBLICO SECTOR VIP - v_id=22;IN KANDIKO - v_id=23;IN REBISCO - v_id=24;IN BINGO KANDIKO - v_id=25;IN BINGO REBISCO - v_id=26;IN CLIENTES BIYEMAS (ARCOS) - v_id=27
S;Jueves;01/01/15;12:00;2015-01-01 00:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;01:00;2015-01-01 01:00:00;0.0000;0.0000;;;;2.1240;2.0280;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;02:00;2015-01-01 02:00:00;1.0000;0.9700;;;;0.0000;0.0000;0.0000;0.0000;;;1.0000;0.9700;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;03:00;2015-01-01 03:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;04:00;2015-01-01 04:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;05:00;2015-01-01 05:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;06:00;2015-01-01 06:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;07:00;2015-01-01 07:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;08:00;2015-01-01 08:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;1.0026;0.0000;0.0000;0.0000;0.0000
S;Jueves;01/01/15;09:00;2015-01-01 09:00:00;0.0000;0.0000;;;;0.0000;0.0000;0.0000;0.0000;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000
